date_pick_up,time_pick_up,trap_id,bait_type,trap_type,species,number_individuals,rainfall_setup_date_mm,rainfall_pickup_date_mm,habitat
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthon luteicollis,5,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium discolor,3,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium histrio,10,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium aff funebre,2,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthon monilifer,8,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Dichotomius batesi,4,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Dichotomius mamillatus,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Phanaeus cambeforti,3,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Phanaeus chalcomelas,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthon sp aff quadriguttatus,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthon femoralis bimaculatus,5,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Onthophagus haematopus,5,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Onthophagus onorei,10,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Uroxys sp D,7,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,No ID,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,No ID,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium sp,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Sylvicanthon bridarollii,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,Canthidium gerstaeckeri,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,No ID,1,0,0,Terra Firme
7/8/17,14:30:00,PT4,Howler monkey dung,PT,No ID,2,0,0,Terra Firme
7/11/17,13:30:00,AT1,Howler monkey dung,AT,Canthon femoralis bimaculatus,5,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT1,Howler monkey dung,AT,Canthon sp aff angustatus,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Dichotomius melzeri,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon femoralis bimaculatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthidium aff funebre,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon aequinoctialis,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Dichotomius batesi,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon sp aff angustatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon discolor,3,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon histrio,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthidium sp T,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon aff cupreum,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthon bicolor,5,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Onthophagus haematopus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthonella sp A,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,Canthonella sp D,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT1,Howler monkey dung,PT,C sp U,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT6,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT6,Howler monkey dung,AT,Canthon sp aff quadriguttatus,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT6,Howler monkey dung,AT,Canthon sp aff angustatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthon aequinoctialis,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium histrio,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthon discolor,15,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Eurysternus caribaeus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Dichotomius melzeri,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Dichotomius ohausi,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthon luteicollis,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthonella sp A,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthonella sp D,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium bicolor,6,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium aff funebre,6,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium sp aff cupreum,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Uroxys sp K,16,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Onthophagus onorei,11,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Onthophagus ophion,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Onthophagus haematopus,5,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium sp aff quadridens,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthidium cf globulum,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Canthon sp aff angustatus,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,Anomiopus andrei,6,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT6,Howler monkey dung,PT,No ID,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT2,Howler monkey dung,AT,Canthon femoralis bimaculatus,3,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT2,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT2,Howler monkey dung,AT,Canthon subhyalinus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT2,Howler monkey dung,AT,Canthon sp aff angustatus,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,AT2,Howler monkey dung,AT,Canthon sp aff angustatus,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Dichotomius melzeri,3,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Dichotomius conicollis,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Phanaeus cambeforti,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthidium aff funebre,11,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthon luteicollis,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthidium histrio,8,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthidium sp aff cupreum,3,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Onthophagus onorei,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthon sp aff angustatus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Scybalocanthon aereus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthon subhyalinus,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Ateuchus sp D,11,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Uroxys sp K,4,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthonella sp A,2,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthonella sp D,1,13.9,0.2,Terra Firme
7/11/17,13:30:00,PT2,Howler monkey dung,PT,Canthon bicolor,3,13.9,0.2,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Dichotomius melzeri,3,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthon aequinoctialis,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Dichotomius ohausi,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium sp aff cupreum,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium bicolor,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthonella sp D,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium sp aff funebre,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthon subhyalinus,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Onthophagus haematopus,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Onthophagus onorei,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Uroxys sp K,4,13.9,0,Terra Firme
7/12/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium discolor,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Dichotomius melzeri,8,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Dichotomius prietoi,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Dichotomius conicollis,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Dichotomius mamillatus,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Phanaeus cambeforti,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthidium sp aff funebre,13,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthon luteicollis,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthidium sp aff cupreum,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthon sp aff angustatus,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthon bicolor,4,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthidium sp aff histrio,3,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthidium discolor,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Uroxys sp K,4,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Onthophagus haematopus,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Canthidium gerstaeckeri,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT2,Howler monkey dung,PT,Ateuchus sp aff pygidalis,1,13.9,0,Terra Firme
7/12/17,13:45:00,AT6,Howler monkey dung,AT,Canthidium sp G,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Dichotomius melzeri,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthon aequinoctialis,3,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthidium discolor,9,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Uroxys sp K,9,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthon sp aff histrio,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthidium sp aff funebre,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthon subhyalinus,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthidium bicolor,3,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthonella sp A,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Canthonella sp D,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Onthophagus onorei,2,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Uroxys sp D,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,Phanaeus cambeforti,1,13.9,0,Terra Firme
7/12/17,13:45:00,PT6,Howler monkey dung,PT,No ID,1,13.9,0,Terra Firme
7/14/17,13:47:00,AT7,Howler monkey dung,AT,Canthon femoralis bimaculatus,19,0,0,Flood Plain
7/14/17,13:47:00,AT7,Howler monkey dung,AT,Canthon sp aff quadriguttatus,2,0,0,Flood Plain
7/14/17,13:47:00,AT7,Howler monkey dung,AT,Canthon sp aff angustatus,2,0,0,Flood Plain
7/14/17,13:47:00,AT7,Howler monkey dung,AT,Canthon semiopacus,2,0,0,Flood Plain
7/14/17,13:47:00,AT7,Howler monkey dung,AT,Canthon rubrescens,2,0,0,Flood Plain
7/14/17,13:47:00,AT8,Howler monkey dung,AT,Canthon femoralis bimaculatus,4,0,0,Flood Plain
7/14/17,13:47:00,AT8,Howler monkey dung,AT,Canthon sp aff quadriguttatus,4,0,0,Flood Plain
7/14/17,13:47:00,AT8,Howler monkey dung,AT,Canthon sp aff angustatus,1,0,0,Flood Plain
7/14/17,13:47:00,AT8,Howler monkey dung,AT,Canthon rubrescens,8,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthon luteicollis,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthon aequinoctialis,3,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Deltochilum peruanum,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Eurysternus caribaeus,3,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Oxysternon silenus,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Phanaeus cambeforti,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Phanaeus chalcomelas,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthon discolor,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthidium sp aff cupreum,6,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthidium gerstaeckeri,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Onthophagus rhinophyllus,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Canthidium cf onitoides,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Onthophagus onorei,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Onthophagus haematopus,1,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Dichotomius sp aff lucasi,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Scybalocanthon aereus,2,0,0,Flood Plain
7/14/17,13:47:00,PT7,Howler monkey dung,PT,Dichotomius robustus,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Dichotomius ohausi,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Canthon luteicollis,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Sylvicanthon bridarollii,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Canthidium histrio,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Onthophagus ophion,1,0,0,Flood Plain
7/14/17,13:47:00,PT8,Howler monkey dung,PT,Ateuchus sp,3,0,0,Flood Plain
7/15/17,13:25:00,AT7,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,0,0,Flood Plain
7/15/17,13:25:00,AT7,Howler monkey dung,AT,Canthon semiopacus,1,0,0,Flood Plain
7/15/17,13:25:00,AT7,Howler monkey dung,AT,Canthon sp aff angustatus,1,0,0,Flood Plain
7/15/17,13:25:00,AT8,Howler monkey dung,AT,Canthon femoralis bimaculatus,4,0,0,Flood Plain
7/15/17,13:25:00,AT8,Howler monkey dung,AT,Canthon semiopacus,1,0,0,Flood Plain
7/15/17,13:25:00,AT8,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Eurysternus sp nov A,2,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Eurysternus caribaeus,2,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Dichotomius conicollis,1,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Canthidium discolor,1,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Canthidium sp aff gerstaeckeri,1,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Onthophagus sp,1,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Ateuchus sp,2,0,0,Flood Plain
7/15/17,13:25:00,PT7,Howler monkey dung,PT,Canthidium sp nov aff gigas,1,0,0,Flood Plain
7/15/17,13:25:00,PT8,Howler monkey dung,PT,Canthidium discolor,1,0,0,Flood Plain
7/15/17,13:25:00,PT8,Howler monkey dung,PT,C sp M,1,0,0,Flood Plain
7/15/17,13:25:00,PT8,Howler monkey dung,PT,Canthon sp,1,0,0,Flood Plain
7/18/17,7:50:00,AT3,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,0,0,Terra Firme
7/18/17,7:50:00,AT3,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Phanaeus chalcomelas,1,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Phanaeus cambeforti,2,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Canthon luteicollis,2,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Canthidium sp aff funebre,5,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Canthidium sp aff cupreum,4,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Ateuchus aeneomicans,1,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Canthonella sp D,1,0,0,Terra Firme
7/18/17,7:50:00,PT3,Howler monkey dung,PT,Canthidium nr ruficolle,1,0,0,Terra Firme
7/18/17,7:50:00,AT4,Howler monkey dung,AT,Canthon femoralis bimaculatus,4,0,0,Terra Firme
7/18/17,7:50:00,AT4,Howler monkey dung,AT,Canthon sp aff quadriguttatus,3,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Canthidium bicolor,9,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Phanaeus cambeforti,1,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Canthidium sp aff cupreum,8,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Canthidium sp aff funebre,1,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Canthon luteicollis,5,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Onthophagus haematopus,1,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Onthophagus onorei,2,0,0,Terra Firme
7/18/17,7:50:00,PT4,Howler monkey dung,PT,Canthon semiopacus,1,0,0,Terra Firme
7/18/17,13:45:00,AT1,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium sp aff funebre,1,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium sp aff cupreum,1,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium sp aff gerstaeckeri,1,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthonella sp A,1,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthonella sp D,2,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Canthidium bicolor,12,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Onthophagus onorei,9,0,0,Terra Firme
7/18/17,13:45:00,PT1,Howler monkey dung,PT,Onthophagus haematopus,5,0,0,Terra Firme
7/18/17,13:45:00,AT6,Howler monkey dung,AT,Canthon sp aff quadriguttatus,1,0,0,Terra Firme
7/18/17,13:45:00,PT6,Howler monkey dung,PT,Canthidium bicolor,2,0,0,Terra Firme
7/19/17,7:50:00,PT4,Howler monkey dung,PT,Phanaeus cambeforti,1,0,0,Terra Firme
7/19/17,12:57:00,PT1,Howler monkey dung,PT,Canthon sp aff angustatus,1,0,0,Terra Firme
7/19/17,12:57:00,AT6,Howler monkey dung,AT,Canthon femoralis bimaculatus,1,0,0,Terra Firme
7/19/17,12:57:00,PT6,Howler monkey dung,PT,Canthidium sp aff cupreum,1,0,0,Terra Firme
7/21/17,13:55:00,AT7,Howler monkey dung,AT,Canthon sp aff angustatus,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Phanaeus cambeforti,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthon luteicollis,5,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthon femoralis bimaculatus,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthidium gerstaeckeri,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthidium cf onitoides,2,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthidium discolor,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthidium sp aff cupreum,4,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Onthophagus rhinophyllus,2,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Scybalocanthon sp C,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Scybalocanthon sp K,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Scybalocanthon aereus,3,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Canthon sp aff angustatus,2,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Dichotomius batesi,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Ateuchus sp D,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Scybalocanthon zischkai,1,0,0,Flood Plain
7/21/17,13:55:00,PT7,Howler monkey dung,PT,Onthophagus onorei,1,0,0,Flood Plain
7/21/17,13:55:00,AT8,Howler monkey dung,AT,Canthon femoralis bimaculatus,13,0,0,Flood Plain
